Transaction ID,Date,Time,Items Purchased,Quantities,Total Price (INR),Payment Method
4205,2023-04-18,08:49,"Hot Chocolate, Espresso, Chicken Caesar Wrap","1, 1, 1",460,Mobile Wallet
4206,2023-08-14,20:51,"French Toast, Nitro Cold Brew, Vanilla Milkshake","1, 1, 1",620,Mobile Wallet
4207,2023-03-07,13:03,"Bagel with Cream Cheese, Veggie Hummus Wrap, Matcha Latte, Almond Milk","2, 2, 1, 1",1080,Mobile Wallet
4208,2023-06-15,14:57,"Cheesecake, Vanilla Syrup","2, 1",590,Mobile Wallet
4209,2023-10-16,12:07,Quinoa Bowl,1,240,Mobile Wallet
4210,2023-08-11,13:13,Greek Salad,2,440,Cash
4211,2023-03-19,15:04,"Affogato, Lemon Tart, Avocado Toast","1, 2, 1",980,Mobile Wallet
4212,2023-02-16,13:25,"Green Tea, Bagel with Cream Cheese, Soy Milk","2, 1, 1",420,UPI
4213,2023-11-29,12:36,"Avocado Toast, Cheesecake, Soy Milk","1, 1, 1",560,Mobile Wallet
4214,2023-03-14,18:19,Avocado Toast,2,480,Mobile Wallet
4215,2023-07-20,13:31,"Americano, Chocolate Fudge Cake, Chocolate Fudge Cake, Almond Milk","2, 2, 1, 1",1030,Cash
4216,2023-06-08,16:03,"Cheesecake, Veggie Hummus Wrap","2, 1",780,Card
4217,2023-10-12,08:06,"Seasonal Smoothie, Caramel Drizzle","2, 1",350,Mobile Wallet
4218,2023-06-01,18:50,"Lemon Tart, Green Tea, Vanilla Syrup","2, 2, 1",730,Card
4219,2023-11-11,17:42,"Veggie Hummus Wrap, Club Sandwich, French Toast","2, 1, 2",1180,Mobile Wallet
4220,2023-06-02,10:55,Americano,2,240,Mobile Wallet
4221,2023-04-09,19:10,"Veggie Hummus Wrap, Grilled Cheese Sandwich","2, 2",800,Card
4222,2023-05-27,19:46,"Affogato, Nitro Cold Brew, Oat Milk","2, 2, 1",800,Mobile Wallet
4223,2023-08-16,16:00,"French Toast, Strawberry Milkshake, Affogato, Caramel Drizzle","1, 2, 1, 1",860,UPI
4224,2023-01-09,14:01,"French Toast, Oat Milk","1, 1",310,Cash
4225,2023-09-10,15:53,"Avocado Toast, Lemon Tart, Masala Chai","2, 2, 1",1110,UPI
4226,2023-10-08,19:22,"Chocolate Chip Cookies, Caramel Drizzle","2, 1",250,Mobile Wallet
4227,2023-09-14,20:33,"Cheesecake, Seasonal Smoothie","2, 2",860,Mobile Wallet
4228,2023-07-25,10:08,"Vanilla Milkshake, Chocolate Chip Cookies, Veggie Hummus Wrap","1, 2, 1",590,Cash
4229,2023-11-05,13:44,"Fresh Lemonade, Lemon Tart, Cheesecake, Oat Milk","2, 2, 1, 1",1060,Cash
4230,2023-07-22,18:15,"Seasonal Smoothie, Green Tea, Soy Milk","2, 1, 1",420,UPI
4231,2023-09-14,13:48,"Pancakes with Syrup, Iced Tea (Peach), Pancakes with Syrup, Vanilla Syrup","1, 2, 1, 1",750,Cash
4232,2023-05-29,19:05,"Chocolate Fudge Cake, Almond Milk","1, 1",290,Mobile Wallet
4233,2023-10-03,14:36,"Masala Chai, Veggie Hummus Wrap, Latte","1, 2, 1",700,Cash
4234,2023-01-25,11:31,"Vanilla Milkshake, Chicken Caesar Wrap, Cheesecake, Soy Milk","1, 1, 1, 1",710,UPI
4235,2023-11-24,08:19,"Latte, Soy Milk","1, 1",210,Mobile Wallet
4236,2023-09-03,11:44,Lemon Tart,1,270,Card
4237,2023-02-20,20:26,Affogato,2,400,Card
4238,2023-11-06,16:34,"Cheesecake, Flat White, Vanilla Milkshake","1, 1, 1",610,Mobile Wallet
4239,2023-04-24,20:46,"Vanilla Milkshake, Soy Milk","2, 1",380,Cash
4240,2023-08-31,18:01,"Chicken Caesar Wrap, Chocolate Chip Cookies","1, 1",320,Card
4241,2023-02-17,18:53,"Veggie Hummus Wrap, Chocolate Fudge Cake, Oat Milk","2, 1, 1",730,UPI
4242,2023-03-06,10:18,"Fresh Lemonade, Chocolate Milkshake, Vanilla Milkshake","1, 1, 1",440,UPI
4243,2023-11-29,20:11,"Cheesecake, Iced Americano, Almond Milk","1, 1, 1",450,Cash
4244,2023-05-21,09:19,Cold Brew,2,300,Cash
4245,2023-08-08,16:45,Flat White,2,320,Cash
4246,2023-01-29,16:01,Avocado Toast,2,480,Mobile Wallet
4247,2023-06-02,10:36,"Veggie Hummus Wrap, Oat Milk","1, 1",260,Card
4248,2023-03-23,11:57,"Fresh Lemonade, Veggie Hummus Wrap, Quinoa Bowl","1, 1, 1",560,Card
4249,2023-12-14,16:39,"Caesar Salad, Fresh Lemonade, Brownies","2, 2, 1",760,UPI
4250,2023-08-18,20:59,"Greek Salad, Omelet, Cold Brew","1, 1, 1",570,Mobile Wallet
4251,2023-04-04,13:15,"Nitro Cold Brew, Caesar Salad, Chocolate Milkshake, Oat Milk","1, 2, 2, 1",1000,UPI
4252,2023-09-22,20:21,"Caesar Salad, Soy Milk","1, 1",260,Card
4253,2023-04-20,14:02,"Masala Chai, Omelet, Americano, Oat Milk","1, 2, 1, 1",650,Cash
4254,2023-02-04,17:55,"Caesar Salad, Flat White, Almond Milk","2, 2, 1",800,Mobile Wallet
4255,2023-04-13,20:23,"Iced Tea (Peach), Cheesecake","2, 1",500,Cash
4256,2023-10-23,19:07,"Hot Chocolate, Veggie Hummus Wrap, Pancakes with Syrup","2, 1, 1",750,Card
4257,2023-03-26,13:53,"Cheesecake, Chocolate Chip Cookies, Iced Americano","2, 2, 2",1020,Mobile Wallet
4258,2023-07-07,14:30,"Nitro Cold Brew, Vanilla Syrup","1, 1",210,UPI
4259,2023-11-16,17:31,"Latte, Quinoa Bowl, Fresh Lemonade","2, 2, 1",920,UPI
4260,2023-04-27,20:57,"Latte, Oat Milk","1, 1",210,Mobile Wallet
4261,2023-09-23,08:28,"Grilled Cheese Sandwich, Caramel Drizzle","2, 1",410,Card
4262,2023-03-18,10:14,"Strawberry Milkshake, Flat White","2, 1",500,UPI
4263,2023-12-08,09:41,"Avocado Toast, Almond Milk","1, 1",280,UPI
4264,2023-01-19,17:03,"Caesar Salad, Club Sandwich, Flat White","2, 2, 1",1000,Card
4265,2023-02-04,16:29,"French Toast, Greek Salad, Caramel Drizzle","1, 1, 1",540,Card
4266,2023-07-21,10:39,"Grilled Cheese Sandwich, Soy Milk","2, 1",400,UPI
4267,2023-02-01,20:20,"Grilled Cheese Sandwich, French Toast, Nitro Cold Brew, Almond Milk","2, 2, 1, 1",1120,Cash
4268,2023-09-16,12:00,"Chocolate Fudge Cake, Lemon Tart, Caramel Drizzle","1, 1, 1",570,Cash
4269,2023-10-31,15:38,"Chocolate Fudge Cake, Iced Tea (Peach), Avocado Toast, Vanilla Syrup","1, 2, 2, 1",980,Mobile Wallet
4270,2023-08-09,08:42,"Nitro Cold Brew, Caramel Drizzle","1, 1",230,Card
4271,2023-04-24,12:17,"Latte, Brownies, Caramel Drizzle","1, 1, 1",340,Cash
4272,2023-11-07,18:09,"Strawberry Milkshake, Cold Brew","1, 2",470,Card
4273,2023-07-15,11:47,"Americano, Caramel Drizzle","2, 1",290,Cash
4274,2023-06-22,20:12,"Bagel with Cream Cheese, Chocolate Chip Cookies, Club Sandwich, Soy Milk","2, 2, 1, 1",880,UPI
4275,2023-11-11,20:23,"Grilled Cheese Sandwich, Lemon Tart","2, 1",630,UPI
4276,2023-10-17,16:49,"Chocolate Milkshake, Hot Chocolate, Vanilla Syrup","1, 2, 1",480,Card
4277,2023-02-02,08:05,"Chocolate Chip Cookies, Masala Chai, French Toast","1, 1, 2",730,Cash
4278,2023-12-16,12:57,"Avocado Toast, Avocado Toast, Fresh Lemonade, Soy Milk","2, 1, 1, 1",860,UPI
4279,2023-02-07,13:11,"Fresh Lemonade, Avocado Toast","2, 1",440,Card
4280,2023-11-22,09:26,"Masala Chai, Grilled Cheese Sandwich, Cold Brew, Soy Milk","1, 1, 1, 1",460,Cash
4281,2023-08-22,10:12,"Veggie Hummus Wrap, Cheesecake","2, 1",720,Cash
4282,2023-08-28,19:15,"Quinoa Bowl, Brownies, Club Sandwich","1, 2, 1",680,UPI
4283,2023-05-28,09:50,"Latte, Lemon Tart, Caramel Drizzle","1, 2, 1",760,Card
4284,2023-07-16,19:24,Espresso,2,200,Card
4285,2023-01-08,10:02,"French Toast, Chicken Caesar Wrap, Flat White, Caramel Drizzle","2, 2, 1, 1",1190,Card
4286,2023-09-19,09:45,"Chocolate Chip Cookies, Almond Milk","2, 1",240,UPI
4287,2023-11-06,09:14,"Bagel with Cream Cheese, Club Sandwich, Caramel Drizzle","1, 2, 1",670,Cash
4288,2023-02-05,20:29,"Avocado Toast, Chocolate Chip Cookies, Cold Brew","2, 1, 2",880,Mobile Wallet
4289,2023-03-10,11:22,"French Toast, Matcha Latte, Bagel with Cream Cheese","1, 2, 2",1030,Card
4290,2023-04-16,19:35,Chocolate Chip Cookies,1,100,UPI
4291,2023-11-28,15:22,"Vanilla Milkshake, French Toast, French Toast","2, 2, 1",1150,UPI
4292,2023-02-09,20:57,"Caesar Salad, Almond Milk","1, 1",260,Cash
4293,2023-06-03,12:44,"Veggie Hummus Wrap, Americano, Vanilla Syrup","2, 1, 1",590,Mobile Wallet
4294,2023-05-04,14:20,"Lemon Tart, Caramel Drizzle","2, 1",590,Cash
4295,2023-01-03,16:57,Latte,2,340,UPI
4296,2023-09-30,19:36,"Bagel with Cream Cheese, Omelet, Matcha Latte, Almond Milk","1, 1, 1, 1",620,Cash
4297,2023-03-25,10:19,"Affogato, Latte, Iced Americano","2, 2, 2",1000,UPI
4298,2023-05-27,16:52,"Chicken Caesar Wrap, Soy Milk","1, 1",260,Mobile Wallet
4299,2023-05-22,16:49,Bagel with Cream Cheese,1,220,Mobile Wallet
4300,2023-06-24,17:03,"Iced Americano, Avocado Toast, Latte, Oat Milk","2, 1, 1, 1",710,Cash
4301,2023-11-20,15:46,"French Toast, Soy Milk","1, 1",310,Card
4302,2023-07-20,15:49,"Quinoa Bowl, Chicken Caesar Wrap, Bagel with Cream Cheese","1, 1, 2",900,UPI
4303,2023-07-03,10:53,"Chocolate Fudge Cake, Chocolate Fudge Cake, Oat Milk","2, 2, 1",1040,Mobile Wallet
4304,2023-03-05,20:03,"Cheesecake, Green Tea, Bagel with Cream Cheese","2, 2, 2",1160,Cash
4305,2023-05-26,16:47,Matcha Latte,1,160,Card
4306,2023-01-22,15:49,"Club Sandwich, Cheesecake, Matcha Latte, Oat Milk","1, 2, 2, 1",1120,Card
4307,2023-05-26,15:12,"Strawberry Milkshake, Bagel with Cream Cheese, Soy Milk","1, 2, 1",650,Mobile Wallet
4308,2023-08-26,11:15,"Veggie Hummus Wrap, Espresso, Omelet","1, 2, 1",620,UPI
4309,2023-05-08,11:13,"Avocado Toast, Oat Milk","1, 1",280,Cash
4310,2023-12-13,12:54,"Greek Salad, Brownies, Cappuccino","2, 2, 2",980,Card
4311,2023-12-01,20:04,"Seasonal Smoothie, Avocado Toast","2, 1",540,Card
4312,2023-01-04,19:12,"Club Sandwich, Hot Chocolate","1, 2",480,Cash
4313,2023-10-15,14:30,"Cheesecake, Affogato, Grilled Cheese Sandwich","1, 2, 1",860,Mobile Wallet
4314,2023-12-02,10:42,"Matcha Latte, Lemon Tart, Chocolate Fudge Cake, Caramel Drizzle","2, 1, 2, 1",1140,Card
4315,2023-10-19,11:17,Omelet,1,200,Cash
4316,2023-12-23,09:19,"Quinoa Bowl, Pancakes with Syrup, Greek Salad, Almond Milk","1, 2, 1, 1",1000,Card
4317,2023-09-29,16:10,Chocolate Milkshake,2,340,Mobile Wallet
4318,2023-11-22,14:41,Green Tea,1,80,Card
4319,2023-11-14,15:57,"Cappuccino, Avocado Toast","1, 1",390,UPI
4320,2023-01-27,17:55,Seasonal Smoothie,2,300,Card
4321,2023-08-20,15:44,"Matcha Latte, Club Sandwich, Oat Milk","1, 1, 1",400,UPI
4322,2023-08-04,18:32,"Cheesecake, Bagel with Cream Cheese, Cold Brew, Almond Milk","2, 2, 1, 1",1190,Card
4323,2023-09-22,20:47,"Greek Salad, Flat White","2, 2",760,UPI
4324,2023-06-12,18:02,"Greek Salad, Lemon Tart","2, 1",710,Mobile Wallet
4325,2023-09-21,14:39,"Latte, Club Sandwich","1, 1",370,Mobile Wallet
4326,2023-10-06,12:32,"Fresh Lemonade, Avocado Toast, Pancakes with Syrup","2, 2, 2",1180,Mobile Wallet
4327,2023-04-30,16:22,"Chocolate Chip Cookies, Espresso","1, 1",200,Card
4328,2023-09-03,11:06,"Chocolate Fudge Cake, Soy Milk","1, 1",290,Cash
4329,2023-11-01,17:19,"Greek Salad, Green Tea, Bagel with Cream Cheese","2, 1, 1",740,Mobile Wallet
4330,2023-03-24,17:34,"Quinoa Bowl, Nitro Cold Brew","2, 2",840,Mobile Wallet
4331,2023-01-04,19:02,"Green Tea, Grilled Cheese Sandwich, Soy Milk","2, 2, 1",560,Mobile Wallet
4332,2023-07-08,20:25,"Cheesecake, Quinoa Bowl, Caramel Drizzle","2, 2, 1",1090,Card
4333,2023-12-15,13:24,"Pancakes with Syrup, Chocolate Milkshake","2, 2",840,UPI
4334,2023-10-21,18:42,"Flat White, Lemon Tart, Affogato","2, 2, 2",1260,UPI
4335,2023-07-27,08:56,"Lemon Tart, Chocolate Fudge Cake, French Toast, Vanilla Syrup","2, 2, 1, 1",1340,UPI
4336,2023-01-15,17:44,"Bagel with Cream Cheese, Brownies, Caramel Drizzle","1, 1, 1",390,Mobile Wallet
4337,2023-09-29,11:52,"Latte, Cappuccino, Almond Milk","2, 1, 1",530,Card
4338,2023-10-02,20:56,"Chicken Caesar Wrap, French Toast, Caramel Drizzle","2, 1, 1",760,Mobile Wallet
4339,2023-10-29,19:53,"Matcha Latte, Espresso, Vanilla Syrup","1, 2, 1",390,Card
4340,2023-06-26,15:58,"Green Tea, Vanilla Milkshake","2, 2",500,Card
4341,2023-01-13,09:51,"Vanilla Milkshake, Lemon Tart, Caesar Salad, Caramel Drizzle","1, 1, 2, 1",930,UPI
4342,2023-05-13,14:08,"Americano, Quinoa Bowl, Bagel with Cream Cheese","2, 2, 2",1160,UPI
4343,2023-07-20,09:17,Bagel with Cream Cheese,2,440,UPI
4344,2023-03-12,13:47,"French Toast, Quinoa Bowl, Soy Milk","1, 1, 1",550,Cash
4345,2023-12-20,18:51,"Strawberry Milkshake, Oat Milk","2, 1",380,Mobile Wallet
4346,2023-11-19,15:44,"Espresso, Seasonal Smoothie, Chocolate Milkshake","1, 2, 1",570,Mobile Wallet
4347,2023-01-26,14:30,Vanilla Milkshake,2,340,UPI
4348,2023-10-21,08:15,"Chocolate Chip Cookies, Strawberry Milkshake, Almond Milk","2, 1, 1",410,Cash
4349,2023-12-17,14:22,Green Tea,1,80,Card
4350,2023-09-27,19:36,"Chocolate Chip Cookies, Soy Milk","2, 1",240,Mobile Wallet
4351,2023-05-01,20:48,"Nitro Cold Brew, Vanilla Milkshake, Almond Milk","2, 2, 1",740,Card
4352,2023-09-05,17:18,"Nitro Cold Brew, Mocha, Chocolate Milkshake, Oat Milk","2, 1, 2, 1",920,Cash
4353,2023-07-12,09:49,"Quinoa Bowl, Greek Salad, Vanilla Syrup","1, 1, 1",490,Card
4354,2023-03-09,19:58,"Cheesecake, Avocado Toast, Chicken Caesar Wrap, Vanilla Syrup","2, 2, 1, 1",1290,Mobile Wallet
4355,2023-01-22,17:01,"Nitro Cold Brew, Oat Milk","1, 1",220,Cash
4356,2023-03-31,19:24,"Veggie Hummus Wrap, Nitro Cold Brew, Soy Milk","1, 1, 1",440,Cash
4357,2023-11-11,18:26,"Pancakes with Syrup, Almond Milk","1, 1",290,Cash
4358,2023-02-08,12:01,"Chicken Caesar Wrap, Cheesecake","2, 1",720,Card
4359,2023-10-26,17:03,Brownies,1,120,Cash
4360,2023-11-15,19:27,"Omelet, Avocado Toast, Flat White, Caramel Drizzle","2, 1, 1, 1",850,UPI
4361,2023-10-19,15:15,Chocolate Chip Cookies,1,100,Card
4362,2023-10-28,08:55,"Hot Chocolate, Oat Milk","1, 1",180,Cash
4363,2023-06-07,20:12,"French Toast, Almond Milk","2, 1",580,Cash
4364,2023-11-16,17:47,"Mocha, Almond Milk","1, 1",220,Mobile Wallet
4365,2023-11-03,10:06,"Vanilla Milkshake, Almond Milk","2, 1",380,UPI
4366,2023-03-10,08:57,"Bagel with Cream Cheese, Caesar Salad, Caramel Drizzle","1, 1, 1",490,UPI
4367,2023-09-17,20:24,Greek Salad,2,440,Mobile Wallet
4368,2023-11-25,18:41,"Brownies, Lemon Tart, Chicken Caesar Wrap, Soy Milk","1, 1, 2, 1",870,UPI
4369,2023-04-13,13:09,"Flat White, Caramel Drizzle","2, 1",370,Card
4370,2023-11-08,20:08,Club Sandwich,2,400,Card
4371,2023-03-04,17:04,"Greek Salad, Almond Milk","2, 1",480,Card
4372,2023-06-14,17:28,"Grilled Cheese Sandwich, Oat Milk","1, 1",220,UPI
4373,2023-06-10,20:00,Chocolate Fudge Cake,1,250,Card
4374,2023-07-05,17:52,"Cheesecake, Hot Chocolate, Caramel Drizzle","2, 2, 1",890,Card
4375,2023-02-15,20:44,"Latte, Masala Chai","1, 2",350,Mobile Wallet
4376,2023-09-13,18:43,"Americano, Vanilla Syrup","2, 1",270,Cash
4377,2023-01-08,14:55,"Cheesecake, Brownies, Greek Salad, Almond Milk","1, 1, 2, 1",880,Cash
4378,2023-06-15,14:21,Chocolate Chip Cookies,2,200,Cash
4379,2023-08-05,15:51,"Seasonal Smoothie, Cheesecake, Vanilla Syrup","2, 1, 1",610,Card
4380,2023-09-11,17:20,"Pancakes with Syrup, Oat Milk","2, 1",540,Card
4381,2023-07-01,09:26,"Nitro Cold Brew, Oat Milk","1, 1",220,Mobile Wallet
4382,2023-03-09,10:15,"Club Sandwich, Bagel with Cream Cheese, Matcha Latte, Soy Milk","1, 1, 2, 1",780,Cash
4383,2023-03-04,13:17,Chocolate Chip Cookies,2,200,Mobile Wallet
4384,2023-07-22,16:59,"Cheesecake, Bagel with Cream Cheese, Nitro Cold Brew","1, 2, 2",1080,Cash
4385,2023-06-08,17:35,"French Toast, Americano, French Toast","1, 1, 2",930,Cash
4386,2023-12-02,15:25,"French Toast, Veggie Hummus Wrap, Caramel Drizzle","2, 2, 1",1030,Card
4387,2023-12-08,18:12,"Caesar Salad, Bagel with Cream Cheese","1, 1",440,Card
4388,2023-01-14,14:54,"Flat White, Omelet, Affogato","1, 1, 2",760,UPI
4389,2023-07-17,15:32,"Cappuccino, Mocha","2, 1",480,Card
4390,2023-05-29,12:43,Pancakes with Syrup,1,250,Cash
4391,2023-10-05,19:31,"Club Sandwich, Veggie Hummus Wrap, Caramel Drizzle","1, 1, 1",470,Card
4392,2023-06-29,13:11,"Bagel with Cream Cheese, Mocha, Caesar Salad","1, 2, 2",1020,UPI
4393,2023-02-15,19:07,"Iced Americano, Lemon Tart","2, 2",800,Cash
4394,2023-02-03,12:26,"Greek Salad, Veggie Hummus Wrap, Soy Milk","2, 1, 1",700,Card
4395,2023-06-17,08:46,"Chocolate Fudge Cake, Club Sandwich","2, 1",700,Cash
4396,2023-04-09,19:52,Chocolate Milkshake,1,170,Cash
4397,2023-06-28,15:14,Strawberry Milkshake,1,170,UPI
4398,2023-01-12,11:47,"Latte, Espresso, Soy Milk","2, 2, 1",580,UPI
4399,2023-11-09,19:45,"Bagel with Cream Cheese, Cheesecake, Matcha Latte","2, 2, 1",1160,Cash
4400,2023-09-08,09:37,"Chocolate Chip Cookies, Flat White, Lemon Tart, Soy Milk","2, 1, 1, 1",670,Mobile Wallet
4401,2023-08-21,11:03,"Chocolate Chip Cookies, Vanilla Syrup","1, 1",130,UPI
4402,2023-10-20,17:22,"Iced Tea (Peach), Flat White, Oat Milk","2, 2, 1",580,Mobile Wallet
4403,2023-04-24,12:35,"Cheesecake, Club Sandwich","1, 1",480,UPI
4404,2023-09-28,10:02,"Chicken Caesar Wrap, Cheesecake, Soy Milk","2, 1, 1",760,Cash
4405,2023-10-24,19:41,"Omelet, Masala Chai, Vanilla Syrup","1, 1, 1",320,UPI
4406,2023-08-30,20:30,"Grilled Cheese Sandwich, Avocado Toast","2, 1",600,Mobile Wallet
4407,2023-08-10,12:29,"Iced Tea (Peach), Soy Milk","2, 1",260,Card
4408,2023-12-20,11:12,Vanilla Milkshake,1,170,Card
4409,2023-09-19,09:20,"French Toast, Cappuccino","1, 1",420,Mobile Wallet
4410,2023-07-22,18:01,"Cappuccino, Chocolate Chip Cookies, Club Sandwich, Oat Milk","2, 1, 2, 1",840,UPI
4411,2023-10-14,11:42,"Bagel with Cream Cheese, Iced Tea (Peach), French Toast","1, 1, 2",870,Card
4412,2023-12-19,16:39,"Chocolate Fudge Cake, Flat White, Almond Milk","1, 2, 1",610,Cash
4413,2023-02-24,09:33,"Veggie Hummus Wrap, Vanilla Syrup","2, 1",470,UPI
4414,2023-07-22,12:24,"Matcha Latte, Vanilla Syrup","1, 1",190,UPI
4415,2023-09-16,15:42,"Chocolate Fudge Cake, Bagel with Cream Cheese","2, 2",940,Cash
4416,2023-05-17,18:30,"Strawberry Milkshake, Cold Brew, Hot Chocolate","1, 1, 2",600,Cash
4417,2023-12-24,19:21,"Chocolate Fudge Cake, Club Sandwich","2, 1",700,Mobile Wallet
4418,2023-04-17,20:50,"Hot Chocolate, Caramel Drizzle","1, 1",190,Cash
4419,2023-05-20,11:29,Pancakes with Syrup,1,250,Cash
4420,2023-11-06,13:57,"French Toast, Green Tea, Quinoa Bowl","2, 2, 2",1180,Mobile Wallet
4421,2023-03-18,09:58,"Green Tea, Vanilla Syrup","2, 1",190,Cash
4422,2023-01-07,19:44,"Omelet, Caesar Salad, Cold Brew, Soy Milk","1, 1, 1, 1",610,Cash
4423,2023-02-06,19:01,"Iced Tea (Peach), Caramel Drizzle","1, 1",160,Mobile Wallet
4424,2023-03-22,17:06,"Avocado Toast, Lemon Tart, Cheesecake, Oat Milk","2, 1, 1, 1",1070,Mobile Wallet
4425,2023-06-18,17:27,Iced Americano,2,260,UPI
4426,2023-06-28,15:04,Masala Chai,2,180,Mobile Wallet
4427,2023-11-10,12:28,"Lemon Tart, Fresh Lemonade, Latte, Caramel Drizzle","1, 1, 1, 1",590,Card
4428,2023-07-27,16:26,"Omelet, Omelet","2, 1",600,Card
4429,2023-05-27,20:47,"French Toast, Veggie Hummus Wrap, Chocolate Chip Cookies, Almond Milk","1, 1, 1, 1",630,Mobile Wallet
4430,2023-10-14,08:02,"Strawberry Milkshake, Brownies, Caramel Drizzle","2, 2, 1",630,Mobile Wallet
4431,2023-11-30,08:21,"Bagel with Cream Cheese, Oat Milk","1, 1",260,Mobile Wallet
4432,2023-01-28,18:19,"Lemon Tart, Nitro Cold Brew","1, 2",630,Mobile Wallet
4433,2023-08-12,09:04,"Pancakes with Syrup, Affogato, Vanilla Syrup","2, 1, 1",730,Mobile Wallet
4434,2023-10-24,12:10,"Grilled Cheese Sandwich, Chocolate Fudge Cake, Iced Tea (Peach)","2, 1, 2",830,Mobile Wallet
4435,2023-07-16,15:11,"Club Sandwich, Oat Milk","1, 1",240,Cash
4436,2023-05-29,09:02,"Masala Chai, Cappuccino","1, 2",390,Card
4437,2023-02-15,14:12,"Chicken Caesar Wrap, Cold Brew, Lemon Tart","2, 1, 1",860,Cash
4438,2023-11-14,09:26,Hot Chocolate,2,280,Card
4439,2023-09-25,20:56,"Chicken Caesar Wrap, Mocha","2, 2",800,Cash
4440,2023-09-28,18:26,"Chocolate Milkshake, Fresh Lemonade, Chocolate Chip Cookies, Caramel Drizzle","1, 2, 2, 1",620,Card
4441,2023-03-13,08:25,"Omelet, Bagel with Cream Cheese, Chicken Caesar Wrap","2, 2, 2",1280,Card
4442,2023-11-30,11:31,"Pancakes with Syrup, Quinoa Bowl, Almond Milk","2, 2, 1",1020,UPI
4443,2023-09-21,12:32,"Grilled Cheese Sandwich, Vanilla Milkshake, Pancakes with Syrup","2, 1, 2",1030,Card
4444,2023-02-21,17:30,"Mocha, Cheesecake","2, 1",640,Cash
4445,2023-04-12,13:27,"Espresso, Caesar Salad, Almond Milk","2, 2, 1",680,Cash
4446,2023-06-23,08:07,"Lemon Tart, Vanilla Syrup","1, 1",300,Card
4447,2023-08-10,12:07,Flat White,2,320,Card
4448,2023-05-09,14:44,"Veggie Hummus Wrap, Chocolate Milkshake, Caramel Drizzle","1, 2, 1",610,Mobile Wallet
4449,2023-03-31,20:59,Flat White,2,320,Cash
4450,2023-06-24,14:09,"Cheesecake, Cold Brew, French Toast","1, 1, 1",700,Cash
4451,2023-12-03,14:18,"Lemon Tart, Chicken Caesar Wrap, Chocolate Chip Cookies","2, 1, 1",860,UPI
4452,2023-07-14,09:19,"Quinoa Bowl, Pancakes with Syrup, Chocolate Chip Cookies","1, 1, 2",690,UPI
4453,2023-04-12,08:08,"Iced Americano, Matcha Latte, Almond Milk","2, 1, 1",460,Cash
4454,2023-12-09,16:20,"Veggie Hummus Wrap, Vanilla Syrup","2, 1",470,UPI
4455,2023-06-29,10:14,"Avocado Toast, Almond Milk","2, 1",520,Cash
4456,2023-02-05,14:28,"Brownies, Vanilla Milkshake, Chocolate Chip Cookies","2, 2, 2",780,Mobile Wallet
4457,2023-07-25,08:13,Chicken Caesar Wrap,2,440,Mobile Wallet
4458,2023-02-15,16:50,Avocado Toast,1,240,UPI
4459,2023-05-19,20:53,"Seasonal Smoothie, Hot Chocolate, Soy Milk","1, 2, 1",470,Cash
4460,2023-05-03,19:19,"Latte, Americano, Almond Milk","1, 1, 1",330,UPI
4461,2023-05-09,08:04,"Pancakes with Syrup, Cheesecake","2, 1",780,Card
4462,2023-07-05,11:06,"French Toast, Chocolate Fudge Cake, Soy Milk","2, 1, 1",830,Cash
4463,2023-04-08,14:30,"Iced Americano, Oat Milk","2, 1",300,UPI
4464,2023-06-11,20:46,Avocado Toast,1,240,Mobile Wallet
4465,2023-03-08,15:58,"Chocolate Fudge Cake, Chocolate Fudge Cake, Nitro Cold Brew","1, 2, 1",930,Cash
4466,2023-10-21,08:22,"Brownies, Chocolate Milkshake, Chicken Caesar Wrap","2, 1, 2",850,Cash
4467,2023-09-10,14:21,"Cappuccino, Cold Brew","2, 1",450,UPI
4468,2023-08-24,13:22,"Affogato, Lemon Tart","2, 1",670,Cash
4469,2023-04-13,12:33,Espresso,2,200,Mobile Wallet
4470,2023-07-25,13:09,"Chocolate Fudge Cake, Club Sandwich, Affogato, Almond Milk","2, 2, 1, 1",1140,Mobile Wallet
4471,2023-05-07,09:28,"Lemon Tart, Chocolate Fudge Cake, Brownies, Soy Milk","2, 1, 1, 1",950,Mobile Wallet
4472,2023-12-15,11:40,"Quinoa Bowl, Chicken Caesar Wrap, Oat Milk","1, 2, 1",720,Card
4473,2023-08-08,16:22,"Masala Chai, Caramel Drizzle","2, 1",230,UPI
4474,2023-11-08,18:19,"Greek Salad, Matcha Latte","1, 1",380,Card
4475,2023-04-01,15:14,Cheesecake,1,280,UPI
4476,2023-07-27,13:39,"Bagel with Cream Cheese, Iced Tea (Peach), Cheesecake","1, 2, 1",720,Card
4477,2023-12-21,14:34,"Flat White, Espresso, Chicken Caesar Wrap","2, 1, 1",640,Cash
4478,2023-10-19,10:52,"Americano, Lemon Tart, Almond Milk","2, 2, 1",820,Cash
4479,2023-05-20,17:48,"Iced Tea (Peach), Cheesecake, Iced Tea (Peach), Caramel Drizzle","1, 1, 1, 1",550,Cash
4480,2023-11-16,13:44,"Bagel with Cream Cheese, Nitro Cold Brew, Chocolate Milkshake","1, 2, 2",920,Mobile Wallet
4481,2023-08-01,10:11,"Veggie Hummus Wrap, Caesar Salad","2, 2",880,Cash
4482,2023-02-25,16:05,"Grilled Cheese Sandwich, Mocha","2, 1",540,Mobile Wallet
